Student_id,Name,Subject,Type,Internal,External,Attendance
136,Sonal,AI,TH,29,53,61
136,Sonal,WT,TH,30,63,97
137,Raj,DSBDA,TH,30,53,96
137,Raj,DSBDA_Lab,PR,4,20,68
137,Raj,IS,TH,24,50,97
137,Raj,IS_Lab,PR,27,47,90
137,Raj,AI,TH,25,55,66
137,Raj,WT,TH,25,58,91
138,Simran,DSBDA,TH,18,45,62
138,Simran,DSBDA_Lab,PR,14,36,80
138,Simran,IS,TH,18,40,92
138,Simran,IS_Lab,PR,12,45,89
138,Simran,AI,TH,13,44,83
138,Simran,WT,TH,15,42,63
139,Yash,DSBDA,TH,14,42,91
139,Yash,DSBDA_Lab,PR,17,35,70
139,Yash,IS,TH,12,45,86
139,Yash,IS_Lab,PR,18,31,89
139,Yash,AI,TH,17,32,91
139,Yash,WT,TH,14,44,77
140,Ritu,DSBDA,TH,22,42,89
140,Ritu,DSBDA_Lab,PR,21,41,98
140,Ritu,IS,TH,17,37,77
140,Ritu,IS_Lab,PR,21,45,92
140,Ritu,AI,TH,15,44,79
140,Ritu,WT,TH,24,56,91
141,Sameer,DSBDA,TH,27,56,81
141,Sameer,DSBDA_Lab,PR,28,57,89
141,Sameer,IS,TH,23,67,75
141,Sameer,IS_Lab,PR,23,69,86
141,Sameer,AI,TH,9,17,59
141,Sameer,WT,TH,30,49,91
142,Preeti,DSBDA,TH,29,55,66
142,Preeti,DSBDA_Lab,PR,27,48,93
142,Preeti,IS,TH,20,68,69
142,Preeti,IS_Lab,PR,30,49,64
142,Preeti,AI,TH,24,55,85
142,Preeti,WT,TH,25,66,94
143,Kunal,DSBDA,TH,22,52,62
143,Kunal,DSBDA_Lab,PR,18,55,78
143,Kunal,IS,TH,16,48,66
143,Kunal,IS_Lab,PR,16,49,70
143,Kunal,AI,TH,15,36,80
143,Kunal,WT,TH,19,46,83
144,Isha,DSBDA,TH,21,53,71
144,Isha,DSBDA_Lab,PR,16,54,84
144,Isha,IS,TH,18,50,97
144,Isha,IS_Lab,PR,22,55,76
144,Isha,AI,TH,25,35,89
144,Isha,WT,TH,25,52,70
145,Tarun,DSBDA,TH,16,37,87
145,Tarun,DSBDA_Lab,PR,15,37,72
145,Tarun,IS,TH,18,43,66
145,Tarun,IS_Lab,PR,16,39,96
145,Tarun,AI,TH,17,37,61
145,Tarun,WT,TH,17,40,77
146,Asha,DSBDA,TH,18,29,98
146,Asha,DSBDA_Lab,PR,18,37,74
146,Asha,IS,TH,14,35,72
146,Asha,IS_Lab,PR,17,32,66
146,Asha,AI,TH,17,29,79
146,Asha,WT,TH,12,39,68
147,Aman,DSBDA,TH,17,41,71
147,Aman,DSBDA_Lab,PR,18,45,83
147,Aman,IS,TH,14,33,76
147,Aman,IS_Lab,PR,15,37,81
147,Aman,AI,TH,15,30,69
147,Aman,WT,TH,13,40,95
148,Richa,DSBDA,TH,15,43,94
148,Richa,DSBDA_Lab,PR,20,56,76
148,Richa,IS,TH,25,46,66
148,Richa,IS_Lab,PR,22,35,95
148,Richa,AI,TH,24,42,64
148,Richa,WT,TH,22,57,79
149,Vishal,DSBDA,TH,15,36,79
149,Vishal,DSBDA_Lab,PR,16,38,75
149,Vishal,IS,TH,17,47,89
149,Vishal,IS_Lab,PR,23,48,97
149,Vishal,AI,TH,17,48,66
149,Vishal,WT,TH,24,48,77
150,Shreya,DSBDA,TH,15,42,75
150,Shreya,DSBDA_Lab,PR,12,39,94
150,Shreya,IS,TH,17,39,63
150,Shreya,IS_Lab,PR,13,31,89
150,Shreya,AI,TH,13,28,63
150,Shreya,WT,TH,13,32,96
